file_name,box.0,box.1,box.2,box.3,text,label
91315069_91315070.json,41,68,69,88,TO:,question
91315069_91315070.json,41,103,87,120,FROM:,question
91315069_91315070.json,41,138,111,153,SUBJECT:,question
91315069_91315070.json,39,198,142,219,DISTRIBUTION:,question
91315069_91315070.json,187,335,255,353,ACCOUNT,question
91315069_91315070.json,550,334,585,348,100'S,question
91315069_91315070.json,694,749,712,841,9131506,other
91315069_91315070.json,98,67,198,87,R. H. ORCUTT,answer
91315069_91315070.json,483,64,619,81,SUBMISSION DATE:,header
91315069_91315070.json,464,98,557,115,OCT 3 ☐,question
91315069_91315070.json,465,116,557,133,OCT 31 ☐,question
91315069_91315070.json,575,96,659,115,DEC 26 ☐,question
91315069_91315070.json,575,116,662,133,JAN 23 ☐,question
91315069_91315070.json,115,133,523,154,HARLEY- DAVIDSON 100'S CIGARETTES PROGRESS REPORT,answer
91315069_91315070.json,148,194,554,215,EFFECTIVENESS OF PRE- SELL (REPORT ON OCT. 3 ONLY).,answer
91315069_91315070.json,42,288,499,311,DIRECT ACCOUNT AND CHAIN VOIDS (USE X TO INDICATE A VOID).,header
91315069_91315070.json,451,320,508,348,NO. STORES,question
91315069_91315070.json,594,318,629,347,LTS. 100'S.,question
91315069_91315070.json,42,559,401,580,% OF DISTRIBUTION ACHIEVED IN RETAIL OUTLETS:,header
91315069_91315070.json,304,588,434,605,% CLASSIFIED CALLS,question
91315069_91315070.json,306,610,415,625,% ANNUAL CALLS,question
91315069_91315070.json,42,644,211,665,PROMOTIONAL IMPACT:,header
91315069_91315070.json,41,679,134,696,$.50 OFF PACK:,question
91315069_91315070.json,43,756,158,773,SALES FORCE 20'S:,question
91315069_91315070.json,42,832,158,849,$5.00 OFF CARTON:,question
91315069_91315070.json,39,923,74,940,1 of 2,other
